In this analyse, we chose lmbd=0.01, eta=0.01 and 300 epochs...

n_layers: 1, batch_size:10, n_neurons:5 gives score of: [0.6482295989990234, 0.6666666865348816] 
n_layers: 3, batch_size:130, n_neurons:35 gives score of: [0.5758205056190491, 0.8333333134651184] 
n_layers: 3, batch_size:130, n_neurons:40 gives score of: [0.9100430607795715, 0.699999988079071] 
n_layers: 3, batch_size:130, n_neurons:45 gives score of: [0.8628793358802795, 0.7666666507720947] 
n_layers: 3, batch_size:130, n_neurons:50 gives score of: [0.8234495520591736, 0.8166666626930237] 
n_layers: 3, batch_size:130, n_neurons:55 gives score of: [0.7934443354606628, 0.8333333134651184] 
n_layers: 3, batch_size:130, n_neurons:60 gives score of: [0.8347734808921814, 0.800000011920929] 
n_layers: 3, batch_size:130, n_neurons:65 gives score of: [0.8223017454147339, 0.8166666626930237] 
n_layers: 3, batch_size:130, n_neurons:70 gives score of: [0.8760586977005005, 0.800000011920929] 
n_layers: 3, batch_size:130, n_neurons:75 gives score of: [0.7837849855422974, 0.8166666626930237] 
n_layers: 3, batch_size:130, n_neurons:80 gives score of: [0.8374535441398621, 0.8333333134651184] 
n_layers: 3, batch_size:140, n_neurons:5 gives score of: [0.7148770689964294, 0.5333333611488342] 
n_layers: 3, batch_size:140, n_neurons:10 gives score of: [0.7760801911354065, 0.7666666507720947] 
n_layers: 3, batch_size:140, n_neurons:15 gives score of: [0.6141104102134705, 0.8500000238418579] 
n_layers: 3, batch_size:140, n_neurons:20 gives score of: [0.6224955320358276, 0.8333333134651184] 
n_layers: 3, batch_size:140, n_neurons:25 gives score of: [0.5603395104408264, 0.8833333253860474] 
n_layers: 3, batch_size:140, n_neurons:30 gives score of: [0.7492081522941589, 0.7833333611488342] 
n_layers: 3, batch_size:140, n_neurons:35 gives score of: [0.9150583148002625, 0.7166666388511658] 
n_layers: 3, batch_size:140, n_neurons:40 gives score of: [0.6280617117881775, 0.8333333134651184] 
n_layers: 3, batch_size:140, n_neurons:45 gives score of: [0.8227275013923645, 0.8333333134651184] 
n_layers: 3, batch_size:140, n_neurons:50 gives score of: [0.7963218688964844, 0.8333333134651184] 
n_layers: 3, batch_size:140, n_neurons:55 gives score of: [0.8468655943870544, 0.8333333134651184] 
n_layers: 3, batch_size:140, n_neurons:60 gives score of: [1.0050082206726074, 0.8166666626930237] 
n_layers: 3, batch_size:140, n_neurons:65 gives score of: [0.8914000391960144, 0.8333333134651184] 
n_layers: 3, batch_size:140, n_neurons:70 gives score of: [1.0088245868682861, 0.800000011920929] 
n_layers: 3, batch_size:140, n_neurons:75 gives score of: [0.9596065282821655, 0.8166666626930237] 
n_layers: 3, batch_size:140, n_neurons:80 gives score of: [1.319567322731018, 0.699999988079071] 
n_layers: 3, batch_size:150, n_neurons:5 gives score of: [0.6890265345573425, 0.75] 
n_layers: 3, batch_size:150, n_neurons:10 gives score of: [0.6832561492919922, 0.699999988079071] 
n_layers: 3, batch_size:150, n_neurons:15 gives score of: [0.6884748935699463, 0.6833333373069763] 
n_layers: 3, batch_size:150, n_neurons:20 gives score of: [0.6076646447181702, 0.800000011920929] 
n_layers: 3, batch_size:150, n_neurons:25 gives score of: [0.5854091644287109, 0.8333333134651184] 
n_layers: 3, batch_size:150, n_neurons:30 gives score of: [0.6193009614944458, 0.8333333134651184] 
n_layers: 3, batch_size:150, n_neurons:35 gives score of: [0.7219310998916626, 0.8166666626930237] 
n_layers: 3, batch_size:150, n_neurons:40 gives score of: [0.7653524279594421, 0.8500000238418579] 
n_layers: 3, batch_size:150, n_neurons:45 gives score of: [0.6485474705696106, 0.8666666746139526] 
n_layers: 3, batch_size:150, n_neurons:50 gives score of: [0.6519891023635864, 0.800000011920929] 
n_layers: 3, batch_size:150, n_neurons:55 gives score of: [0.8315385580062866, 0.8166666626930237] 
n_layers: 3, batch_size:150, n_neurons:60 gives score of: [0.817952036857605, 0.7833333611488342] 
n_layers: 3, batch_size:150, n_neurons:65 gives score of: [0.7624785304069519, 0.800000011920929] 
n_layers: 3, batch_size:150, n_neurons:70 gives score of: [0.8834426403045654, 0.8333333134651184] 
n_layers: 3, batch_size:150, n_neurons:75 gives score of: [0.9226194024085999, 0.8333333134651184] 
n_layers: 3, batch_size:150, n_neurons:80 gives score of: [0.9126880168914795, 0.8500000238418579] 
n_layers: 3, batch_size:160, n_neurons:5 gives score of: [0.6880428194999695, 0.6333333253860474] 
n_layers: 3, batch_size:160, n_neurons:10 gives score of: [0.635391354560852, 0.8333333134651184] 
n_layers: 3, batch_size:160, n_neurons:15 gives score of: [1.049681544303894, 0.75] 
n_layers: 3, batch_size:160, n_neurons:20 gives score of: [0.614057183265686, 0.8500000238418579] 
n_layers: 3, batch_size:160, n_neurons:25 gives score of: [0.6879007816314697, 0.8833333253860474] 
n_layers: 3, batch_size:160, n_neurons:30 gives score of: [0.7227156162261963, 0.8333333134651184] 
n_layers: 3, batch_size:160, n_neurons:35 gives score of: [0.8811339139938354, 0.8333333134651184] 
n_layers: 3, batch_size:160, n_neurons:40 gives score of: [0.6722244024276733, 0.7833333611488342] 
n_layers: 3, batch_size:160, n_neurons:45 gives score of: [0.7238099575042725, 0.7833333611488342] 
n_layers: 3, batch_size:160, n_neurons:50 gives score of: [0.8187592029571533, 0.7833333611488342] 
n_layers: 3, batch_size:160, n_neurons:55 gives score of: [0.8184348344802856, 0.8666666746139526] 
n_layers: 3, batch_size:160, n_neurons:60 gives score of: [0.9451610445976257, 0.7833333611488342] 
n_layers: 3, batch_size:160, n_neurons:65 gives score of: [0.844830334186554, 0.8166666626930237] 
n_layers: 3, batch_size:160, n_neurons:70 gives score of: [0.8381040096282959, 0.8500000238418579] 
n_layers: 3, batch_size:160, n_neurons:75 gives score of: [0.8202289342880249, 0.8666666746139526] 
n_layers: 3, batch_size:160, n_neurons:80 gives score of: [0.7752702236175537, 0.8333333134651184] 
n_layers: 3, batch_size:170, n_neurons:5 gives score of: [0.9056946635246277, 0.5] 
n_layers: 3, batch_size:170, n_neurons:10 gives score of: [0.6342589259147644, 0.699999988079071] 
n_layers: 3, batch_size:170, n_neurons:15 gives score of: [0.7030557990074158, 0.699999988079071] 
n_layers: 3, batch_size:170, n_neurons:20 gives score of: [0.6352341175079346, 0.7833333611488342] 
n_layers: 3, batch_size:170, n_neurons:25 gives score of: [0.8532071709632874, 0.6666666865348816] 
n_layers: 3, batch_size:170, n_neurons:30 gives score of: [0.6455430388450623, 0.8500000238418579] 
n_layers: 3, batch_size:170, n_neurons:35 gives score of: [0.8069902658462524, 0.75] 
n_layers: 3, batch_size:170, n_neurons:40 gives score of: [0.8426141142845154, 0.800000011920929] 
n_layers: 3, batch_size:170, n_neurons:45 gives score of: [0.7035706639289856, 0.8500000238418579] 
n_layers: 3, batch_size:170, n_neurons:50 gives score of: [0.7679910063743591, 0.8333333134651184] 
n_layers: 3, batch_size:170, n_neurons:55 gives score of: [0.7853173017501831, 0.8333333134651184] 
n_layers: 3, batch_size:170, n_neurons:60 gives score of: [0.9105585813522339, 0.8333333134651184] 
n_layers: 3, batch_size:170, n_neurons:65 gives score of: [0.9154631495475769, 0.8333333134651184] 
n_layers: 3, batch_size:170, n_neurons:70 gives score of: [0.9026904702186584, 0.800000011920929] 
n_layers: 3, batch_size:170, n_neurons:75 gives score of: [0.804075300693512, 0.8333333134651184] 
n_layers: 3, batch_size:170, n_neurons:80 gives score of: [0.9241001009941101, 0.800000011920929] 
n_layers: 3, batch_size:180, n_neurons:5 gives score of: [0.6431291699409485, 0.6833333373069763] 
n_layers: 3, batch_size:180, n_neurons:10 gives score of: [0.6480996608734131, 0.7666666507720947] 
n_layers: 3, batch_size:180, n_neurons:15 gives score of: [0.6449500918388367, 0.75] 
n_layers: 3, batch_size:180, n_neurons:20 gives score of: [0.6927592158317566, 0.7666666507720947] 
n_layers: 3, batch_size:180, n_neurons:25 gives score of: [0.6823807954788208, 0.800000011920929] 
n_layers: 3, batch_size:180, n_neurons:30 gives score of: [0.7991770505905151, 0.7833333611488342] 
n_layers: 3, batch_size:180, n_neurons:35 gives score of: [0.8296477198600769, 0.8333333134651184] 
n_layers: 3, batch_size:180, n_neurons:40 gives score of: [0.8800287842750549, 0.7833333611488342] 
n_layers: 3, batch_size:180, n_neurons:45 gives score of: [0.7720955610275269, 0.8500000238418579] 
n_layers: 3, batch_size:180, n_neurons:50 gives score of: [0.7523508667945862, 0.8333333134651184] 
n_layers: 3, batch_size:180, n_neurons:55 gives score of: [0.8636681437492371, 0.8500000238418579] 
n_layers: 3, batch_size:180, n_neurons:60 gives score of: [0.9345036745071411, 0.8166666626930237] 
n_layers: 3, batch_size:180, n_neurons:65 gives score of: [0.6702443361282349, 0.8500000238418579] 
n_layers: 3, batch_size:180, n_neurons:70 gives score of: [0.9001896977424622, 0.800000011920929] 
n_layers: 3, batch_size:180, n_neurons:75 gives score of: [0.9688893556594849, 0.800000011920929] 
n_layers: 3, batch_size:180, n_neurons:80 gives score of: [0.8912826776504517, 0.8166666626930237] 
n_layers: 3, batch_size:190, n_neurons:5 gives score of: [0.7896862030029297, 0.699999988079071] 
n_layers: 3, batch_size:190, n_neurons:10 gives score of: [0.6871872544288635, 0.7166666388511658] 
n_layers: 3, batch_size:190, n_neurons:15 gives score of: [0.7017695307731628, 0.75] 
n_layers: 3, batch_size:190, n_neurons:20 gives score of: [0.6754273176193237, 0.75] 
n_layers: 3, batch_size:190, n_neurons:25 gives score of: [0.6206111907958984, 0.800000011920929] 
n_layers: 3, batch_size:190, n_neurons:30 gives score of: [0.701381504535675, 0.800000011920929] 
n_layers: 3, batch_size:190, n_neurons:35 gives score of: [0.7903907895088196, 0.8166666626930237] 
n_layers: 3, batch_size:190, n_neurons:40 gives score of: [0.7403945922851562, 0.8333333134651184] 
n_layers: 3, batch_size:190, n_neurons:45 gives score of: [0.7755463719367981, 0.800000011920929] 
n_layers: 3, batch_size:190, n_neurons:50 gives score of: [0.7704994082450867, 0.800000011920929] 
n_layers: 3, batch_size:190, n_neurons:55 gives score of: [0.8918219208717346, 0.800000011920929] 
n_layers: 3, batch_size:190, n_neurons:60 gives score of: [0.9128494262695312, 0.75] 
n_layers: 3, batch_size:190, n_neurons:65 gives score of: [1.1777424812316895, 0.6666666865348816] 
n_layers: 3, batch_size:190, n_neurons:70 gives score of: [0.8670002222061157, 0.800000011920929] 
n_layers: 3, batch_size:190, n_neurons:75 gives score of: [0.7581994533538818, 0.8666666746139526] 
n_layers: 3, batch_size:190, n_neurons:80 gives score of: [0.8678992986679077, 0.8500000238418579] 
n_layers: 3, batch_size:200, n_neurons:5 gives score of: [0.7019512057304382, 0.6499999761581421] 
n_layers: 3, batch_size:200, n_neurons:10 gives score of: [0.7421731948852539, 0.699999988079071] 
n_layers: 3, batch_size:200, n_neurons:15 gives score of: [0.5866638422012329, 0.8333333134651184] 
n_layers: 3, batch_size:200, n_neurons:20 gives score of: [0.7043889760971069, 0.699999988079071] 
n_layers: 3, batch_size:200, n_neurons:25 gives score of: [0.6868308782577515, 0.8333333134651184] 
n_layers: 3, batch_size:200, n_neurons:30 gives score of: [0.799526572227478, 0.800000011920929] 
n_layers: 3, batch_size:200, n_neurons:35 gives score of: [1.0204095840454102, 0.6499999761581421] 
n_layers: 3, batch_size:200, n_neurons:40 gives score of: [0.8779144883155823, 0.6833333373069763] 
n_layers: 3, batch_size:200, n_neurons:45 gives score of: [0.6961044669151306, 0.8166666626930237] 
n_layers: 3, batch_size:200, n_neurons:50 gives score of: [0.7996357083320618, 0.8333333134651184] 
n_layers: 3, batch_size:200, n_neurons:55 gives score of: [0.8597838282585144, 0.8166666626930237] 
n_layers: 3, batch_size:200, n_neurons:60 gives score of: [0.9902024865150452, 0.800000011920929] 
n_layers: 3, batch_size:200, n_neurons:65 gives score of: [0.9247270226478577, 0.8333333134651184] 
n_layers: 3, batch_size:200, n_neurons:70 gives score of: [0.7840067148208618, 0.8333333134651184] 
n_layers: 3, batch_size:200, n_neurons:75 gives score of: [0.9494165778160095, 0.800000011920929] 
n_layers: 3, batch_size:200, n_neurons:80 gives score of: [0.9521054625511169, 0.8166666626930237] 
n_layers: 4, batch_size:10, n_neurons:5 gives score of: [0.42317894101142883, 0.8833333253860474] 
n_layers: 4, batch_size:10, n_neurons:10 gives score of: [0.6267054080963135, 0.800000011920929] 
n_layers: 4, batch_size:10, n_neurons:15 gives score of: [0.5250047445297241, 0.8666666746139526] 
n_layers: 4, batch_size:10, n_neurons:20 gives score of: [0.5114086866378784, 0.8500000238418579] 
n_layers: 4, batch_size:10, n_neurons:25 gives score of: [0.5310375690460205, 0.8333333134651184] 
n_layers: 4, batch_size:10, n_neurons:30 gives score of: [0.7116016149520874, 0.7833333611488342] 
n_layers: 4, batch_size:10, n_neurons:35 gives score of: [0.5743099451065063, 0.8333333134651184] 
n_layers: 4, batch_size:10, n_neurons:40 gives score of: [0.5948988199234009, 0.8166666626930237] 
n_layers: 4, batch_size:10, n_neurons:45 gives score of: [0.661414384841919, 0.7833333611488342] 
n_layers: 4, batch_size:10, n_neurons:50 gives score of: [0.5514194965362549, 0.8333333134651184] 
n_layers: 4, batch_size:10, n_neurons:55 gives score of: [0.5474334955215454, 0.800000011920929] 
n_layers: 4, batch_size:10, n_neurons:60 gives score of: [0.5508006811141968, 0.8500000238418579] 
n_layers: 4, batch_size:10, n_neurons:65 gives score of: [0.5681192874908447, 0.800000011920929] 
n_layers: 4, batch_size:10, n_neurons:70 gives score of: [0.6508457064628601, 0.7833333611488342] 
n_layers: 4, batch_size:10, n_neurons:75 gives score of: [0.5085141062736511, 0.8500000238418579] 
n_layers: 4, batch_size:10, n_neurons:80 gives score of: [0.5266869068145752, 0.8333333134651184] 
n_layers: 4, batch_size:20, n_neurons:5 gives score of: [0.6469590663909912, 0.699999988079071] 
n_layers: 4, batch_size:20, n_neurons:10 gives score of: [0.7414939999580383, 0.7666666507720947] 
n_layers: 4, batch_size:20, n_neurons:15 gives score of: [0.6291795372962952, 0.800000011920929] 
n_layers: 4, batch_size:20, n_neurons:20 gives score of: [0.6614528894424438, 0.7666666507720947] 
n_layers: 4, batch_size:20, n_neurons:25 gives score of: [0.5992962718009949, 0.800000011920929] 
n_layers: 4, batch_size:20, n_neurons:30 gives score of: [0.5568899512290955, 0.8666666746139526] 
n_layers: 4, batch_size:20, n_neurons:35 gives score of: [0.6295666098594666, 0.8333333134651184] 
n_layers: 4, batch_size:20, n_neurons:40 gives score of: [0.7508925199508667, 0.8333333134651184] 
n_layers: 4, batch_size:20, n_neurons:45 gives score of: [0.6884492039680481, 0.8333333134651184] 
n_layers: 4, batch_size:20, n_neurons:50 gives score of: [0.7875047326087952, 0.7333333492279053] 
n_layers: 4, batch_size:20, n_neurons:55 gives score of: [0.7198322415351868, 0.8333333134651184] 
n_layers: 4, batch_size:20, n_neurons:60 gives score of: [0.6507912874221802, 0.8500000238418579] 
n_layers: 4, batch_size:20, n_neurons:65 gives score of: [0.8195356726646423, 0.7666666507720947] 
n_layers: 4, batch_size:20, n_neurons:70 gives score of: [0.765192449092865, 0.8166666626930237] 
n_layers: 4, batch_size:20, n_neurons:75 gives score of: [0.7556095123291016, 0.7666666507720947] 
n_layers: 4, batch_size:20, n_neurons:80 gives score of: [0.6943920254707336, 0.800000011920929] 
n_layers: 4, batch_size:30, n_neurons:5 gives score of: [0.46901851892471313, 0.8833333253860474] 
n_layers: 4, batch_size:30, n_neurons:10 gives score of: [0.604979932308197, 0.800000011920929] 
n_layers: 4, batch_size:30, n_neurons:15 gives score of: [0.8131837248802185, 0.6499999761581421] 
n_layers: 4, batch_size:30, n_neurons:20 gives score of: [0.6016918420791626, 0.8500000238418579] 
n_layers: 4, batch_size:30, n_neurons:25 gives score of: [0.6070325970649719, 0.8333333134651184] 
n_layers: 4, batch_size:30, n_neurons:30 gives score of: [0.6784314513206482, 0.8333333134651184] 
n_layers: 4, batch_size:30, n_neurons:35 gives score of: [0.6700940728187561, 0.800000011920929] 
n_layers: 4, batch_size:30, n_neurons:40 gives score of: [0.7360936403274536, 0.8333333134651184] 
n_layers: 4, batch_size:30, n_neurons:45 gives score of: [0.8498266339302063, 0.7666666507720947] 
n_layers: 4, batch_size:30, n_neurons:50 gives score of: [0.6957376599311829, 0.800000011920929] 
n_layers: 4, batch_size:30, n_neurons:55 gives score of: [0.7205439805984497, 0.8166666626930237] 
n_layers: 4, batch_size:30, n_neurons:60 gives score of: [0.775868833065033, 0.8166666626930237] 
n_layers: 4, batch_size:30, n_neurons:65 gives score of: [0.7458451390266418, 0.8166666626930237] 
n_layers: 4, batch_size:30, n_neurons:70 gives score of: [0.6688851714134216, 0.8500000238418579] 
n_layers: 4, batch_size:30, n_neurons:75 gives score of: [0.7608222961425781, 0.8333333134651184] 
n_layers: 4, batch_size:30, n_neurons:80 gives score of: [0.7465997338294983, 0.8500000238418579] 
n_layers: 4, batch_size:40, n_neurons:5 gives score of: [0.6659039855003357, 0.6166666746139526] 
n_layers: 4, batch_size:40, n_neurons:10 gives score of: [0.5590192079544067, 0.7666666507720947] 
n_layers: 4, batch_size:40, n_neurons:15 gives score of: [0.7895175814628601, 0.7833333611488342] 
n_layers: 4, batch_size:40, n_neurons:20 gives score of: [0.7132872343063354, 0.800000011920929] 
n_layers: 4, batch_size:40, n_neurons:25 gives score of: [0.8249800801277161, 0.7666666507720947] 
n_layers: 4, batch_size:40, n_neurons:30 gives score of: [0.7320470213890076, 0.8333333134651184] 
n_layers: 4, batch_size:40, n_neurons:35 gives score of: [0.732663094997406, 0.8333333134651184] 
n_layers: 4, batch_size:40, n_neurons:40 gives score of: [0.82942134141922, 0.7333333492279053] 
n_layers: 4, batch_size:40, n_neurons:45 gives score of: [0.7333703637123108, 0.8333333134651184] 
n_layers: 4, batch_size:40, n_neurons:50 gives score of: [0.7884852290153503, 0.800000011920929] 
n_layers: 4, batch_size:40, n_neurons:55 gives score of: [0.7874240875244141, 0.800000011920929] 
n_layers: 4, batch_size:40, n_neurons:60 gives score of: [0.9258006811141968, 0.800000011920929] 
n_layers: 4, batch_size:40, n_neurons:65 gives score of: [0.8570271730422974, 0.8166666626930237] 
n_layers: 4, batch_size:40, n_neurons:70 gives score of: [1.1842689514160156, 0.6666666865348816] 
n_layers: 4, batch_size:40, n_neurons:75 gives score of: [1.1117966175079346, 0.6833333373069763] 
n_layers: 4, batch_size:40, n_neurons:80 gives score of: [0.8067452907562256, 0.8333333134651184] 
n_layers: 4, batch_size:50, n_neurons:5 gives score of: [0.6723261475563049, 0.6666666865348816] 
n_layers: 4, batch_size:50, n_neurons:10 gives score of: [0.6191579103469849, 0.7333333492279053] 
n_layers: 4, batch_size:50, n_neurons:15 gives score of: [0.65749192237854, 0.8166666626930237] 
n_layers: 4, batch_size:50, n_neurons:20 gives score of: [0.5872274041175842, 0.8666666746139526] 
n_layers: 4, batch_size:50, n_neurons:25 gives score of: [0.6399441957473755, 0.800000011920929] 
n_layers: 4, batch_size:50, n_neurons:30 gives score of: [0.7468941807746887, 0.8333333134651184] 
n_layers: 4, batch_size:50, n_neurons:35 gives score of: [0.9072586894035339, 0.8333333134651184] 
n_layers: 4, batch_size:50, n_neurons:40 gives score of: [0.7353679537773132, 0.8500000238418579] 
n_layers: 4, batch_size:50, n_neurons:45 gives score of: [0.7566814422607422, 0.8333333134651184] 
n_layers: 4, batch_size:50, n_neurons:50 gives score of: [0.8167245388031006, 0.8166666626930237] 
n_layers: 4, batch_size:50, n_neurons:55 gives score of: [1.2051211595535278, 0.6499999761581421] 
n_layers: 4, batch_size:50, n_neurons:60 gives score of: [0.7743817567825317, 0.8166666626930237] 
n_layers: 4, batch_size:50, n_neurons:65 gives score of: [0.8346075415611267, 0.8666666746139526] 
n_layers: 4, batch_size:50, n_neurons:70 gives score of: [0.9976243376731873, 0.7833333611488342] 
n_layers: 4, batch_size:50, n_neurons:75 gives score of: [0.9784820675849915, 0.7833333611488342] 
n_layers: 4, batch_size:50, n_neurons:80 gives score of: [0.9182897210121155, 0.8166666626930237] 
n_layers: 4, batch_size:60, n_neurons:5 gives score of: [0.6391558051109314, 0.7833333611488342] 
n_layers: 4, batch_size:60, n_neurons:10 gives score of: [0.6863331198692322, 0.7166666388511658] 
n_layers: 4, batch_size:60, n_neurons:15 gives score of: [0.6797766089439392, 0.7666666507720947] 
n_layers: 4, batch_size:60, n_neurons:20 gives score of: [0.6380359530448914, 0.800000011920929] 
n_layers: 4, batch_size:60, n_neurons:25 gives score of: [0.7003799676895142, 0.8166666626930237] 
n_layers: 4, batch_size:60, n_neurons:30 gives score of: [0.7361680269241333, 0.8333333134651184] 
n_layers: 4, batch_size:60, n_neurons:35 gives score of: [0.83952796459198, 0.8333333134651184] 
n_layers: 4, batch_size:60, n_neurons:40 gives score of: [0.7893221974372864, 0.7833333611488342] 
n_layers: 4, batch_size:60, n_neurons:45 gives score of: [0.9134895205497742, 0.8166666626930237] 
n_layers: 4, batch_size:60, n_neurons:50 gives score of: [0.7823463678359985, 0.8333333134651184] 
n_layers: 4, batch_size:60, n_neurons:55 gives score of: [0.901187539100647, 0.8333333134651184] 
n_layers: 4, batch_size:60, n_neurons:60 gives score of: [0.896253228187561, 0.8333333134651184] 
n_layers: 4, batch_size:60, n_neurons:65 gives score of: [1.067013144493103, 0.75] 
n_layers: 4, batch_size:60, n_neurons:70 gives score of: [0.9467965364456177, 0.8333333134651184] 
n_layers: 4, batch_size:60, n_neurons:75 gives score of: [1.0373408794403076, 0.8166666626930237] 
n_layers: 4, batch_size:60, n_neurons:80 gives score of: [0.9756905436515808, 0.800000011920929] 
n_layers: 4, batch_size:70, n_neurons:5 gives score of: [0.7185069918632507, 0.6833333373069763] 
n_layers: 4, batch_size:70, n_neurons:10 gives score of: [0.5932356119155884, 0.8833333253860474] 
n_layers: 4, batch_size:70, n_neurons:15 gives score of: [0.7146378755569458, 0.75] 
n_layers: 4, batch_size:70, n_neurons:20 gives score of: [0.7343339323997498, 0.7833333611488342] 
n_layers: 4, batch_size:70, n_neurons:25 gives score of: [0.6557058095932007, 0.800000011920929] 
n_layers: 4, batch_size:70, n_neurons:30 gives score of: [0.7223594784736633, 0.8333333134651184] 
n_layers: 4, batch_size:70, n_neurons:35 gives score of: [0.7813720703125, 0.8166666626930237] 
n_layers: 4, batch_size:70, n_neurons:40 gives score of: [0.9034788012504578, 0.75] 
n_layers: 4, batch_size:70, n_neurons:45 gives score of: [0.7915254831314087, 0.8166666626930237] 
n_layers: 4, batch_size:70, n_neurons:50 gives score of: [0.8268600702285767, 0.800000011920929] 
n_layers: 4, batch_size:70, n_neurons:55 gives score of: [0.7988048195838928, 0.8500000238418579] 
n_layers: 4, batch_size:70, n_neurons:60 gives score of: [0.9665091633796692, 0.800000011920929] 
n_layers: 4, batch_size:70, n_neurons:65 gives score of: [1.4869112968444824, 0.5833333134651184] 
n_layers: 4, batch_size:70, n_neurons:70 gives score of: [0.9014431238174438, 0.8333333134651184] 
n_layers: 4, batch_size:70, n_neurons:75 gives score of: [0.9534690380096436, 0.8333333134651184] 
n_layers: 4, batch_size:70, n_neurons:80 gives score of: [1.068200707435608, 0.7166666388511658] 
n_layers: 4, batch_size:80, n_neurons:5 gives score of: [0.6631905436515808, 0.7333333492279053] 
n_layers: 4, batch_size:80, n_neurons:10 gives score of: [0.60174560546875, 0.800000011920929] 
n_layers: 4, batch_size:80, n_neurons:15 gives score of: [0.6847394108772278, 0.800000011920929] 
n_layers: 4, batch_size:80, n_neurons:20 gives score of: [0.691975474357605, 0.7666666507720947] 
n_layers: 4, batch_size:80, n_neurons:25 gives score of: [0.607543408870697, 0.8500000238418579] 
n_layers: 4, batch_size:80, n_neurons:30 gives score of: [0.7726001739501953, 0.8333333134651184] 
n_layers: 4, batch_size:80, n_neurons:35 gives score of: [0.8991475701332092, 0.7833333611488342] 
n_layers: 4, batch_size:80, n_neurons:40 gives score of: [0.8881219029426575, 0.800000011920929] 
n_layers: 4, batch_size:80, n_neurons:45 gives score of: [0.9197590351104736, 0.8166666626930237] 
n_layers: 4, batch_size:80, n_neurons:50 gives score of: [0.9831611514091492, 0.7833333611488342] 
n_layers: 4, batch_size:80, n_neurons:55 gives score of: [0.8811966776847839, 0.8333333134651184] 
n_layers: 4, batch_size:80, n_neurons:60 gives score of: [1.0219284296035767, 0.8333333134651184] 
n_layers: 4, batch_size:80, n_neurons:65 gives score of: [1.0762807130813599, 0.75] 
n_layers: 4, batch_size:80, n_neurons:70 gives score of: [1.046465516090393, 0.8500000238418579] 
n_layers: 4, batch_size:80, n_neurons:75 gives score of: [1.0047497749328613, 0.8166666626930237] 
n_layers: 4, batch_size:80, n_neurons:80 gives score of: [1.0388028621673584, 0.8500000238418579] 
n_layers: 4, batch_size:90, n_neurons:5 gives score of: [0.6567157506942749, 0.699999988079071] 
n_layers: 4, batch_size:90, n_neurons:10 gives score of: [0.6814485192298889, 0.800000011920929] 
n_layers: 4, batch_size:90, n_neurons:15 gives score of: [0.8265365958213806, 0.8333333134651184] 
n_layers: 4, batch_size:90, n_neurons:20 gives score of: [0.5506684184074402, 0.8500000238418579] 
n_layers: 4, batch_size:90, n_neurons:25 gives score of: [0.7312432527542114, 0.8166666626930237] 
n_layers: 4, batch_size:90, n_neurons:30 gives score of: [0.7751360535621643, 0.8333333134651184] 
n_layers: 4, batch_size:90, n_neurons:35 gives score of: [0.9495402574539185, 0.7666666507720947] 
n_layers: 4, batch_size:90, n_neurons:40 gives score of: [0.7489058375358582, 0.8166666626930237] 
n_layers: 4, batch_size:90, n_neurons:45 gives score of: [0.859391450881958, 0.8333333134651184] 
n_layers: 4, batch_size:90, n_neurons:50 gives score of: [0.8519454598426819, 0.8166666626930237] 
n_layers: 4, batch_size:90, n_neurons:55 gives score of: [0.8212388157844543, 0.8666666746139526] 
n_layers: 4, batch_size:90, n_neurons:60 gives score of: [1.015668272972107, 0.75] 
n_layers: 4, batch_size:90, n_neurons:65 gives score of: [1.137988567352295, 0.75] 
n_layers: 4, batch_size:90, n_neurons:70 gives score of: [0.9000663757324219, 0.8166666626930237] 
n_layers: 4, batch_size:90, n_neurons:75 gives score of: [0.8713090419769287, 0.8166666626930237] 
n_layers: 4, batch_size:90, n_neurons:80 gives score of: [1.14662504196167, 0.7333333492279053] 
n_layers: 4, batch_size:100, n_neurons:5 gives score of: [0.7368767857551575, 0.5666666626930237] 
n_layers: 4, batch_size:100, n_neurons:10 gives score of: [0.571325421333313, 0.7833333611488342] 
n_layers: 4, batch_size:100, n_neurons:15 gives score of: [0.670485258102417, 0.8500000238418579] 
n_layers: 4, batch_size:100, n_neurons:20 gives score of: [0.6034101843833923, 0.8500000238418579] 
n_layers: 4, batch_size:100, n_neurons:25 gives score of: [0.7004628777503967, 0.8333333134651184] 
n_layers: 4, batch_size:100, n_neurons:30 gives score of: [0.7754333019256592, 0.8666666746139526] 
n_layers: 4, batch_size:100, n_neurons:35 gives score of: [0.7940124273300171, 0.8500000238418579] 
n_layers: 4, batch_size:100, n_neurons:40 gives score of: [0.8735501766204834, 0.7833333611488342] 
n_layers: 4, batch_size:100, n_neurons:45 gives score of: [0.8521522283554077, 0.8166666626930237] 
n_layers: 4, batch_size:100, n_neurons:50 gives score of: [0.8328192234039307, 0.800000011920929] 
n_layers: 4, batch_size:100, n_neurons:55 gives score of: [0.842925488948822, 0.7833333611488342] 
n_layers: 4, batch_size:100, n_neurons:60 gives score of: [1.0422190427780151, 0.7166666388511658] 
n_layers: 4, batch_size:100, n_neurons:65 gives score of: [0.8609276413917542, 0.800000011920929] 
n_layers: 4, batch_size:100, n_neurons:70 gives score of: [0.8869779109954834, 0.800000011920929] 
n_layers: 4, batch_size:100, n_neurons:75 gives score of: [0.8334211707115173, 0.8500000238418579] 
